recording has been started
action target inititated
recorded at 3.31707
recorded at 3.31722
recorded at 3.31736
recorded at 3.31751
recorded at 3.31768
recorded at 3.31783
recorded at 3.31796
recorded at 3.31808
recorded at 3.3182
recorded at 3.31833
recorded at 3.31845
recorded at 3.31857
recorded at 3.3187
recorded at 3.31884
recorded at 3.31898
recorded at 3.31912
recorded at 3.31925
recorded at 3.31941
recorded at 3.31955
recorded at 3.31969
recorded at 3.31983
recorded at 3.31996
recorded at 3.3201
recorded at 3.32023
recorded at 3.32037
recorded at 3.3205
recorded at 3.32064
recorded at 3.32078
recorded at 3.32092
recorded at 3.32105
recorded at 3.32119
recorded at 3.32133
recorded at 3.32146
recorded at 3.32162
recorded at 3.3218
recorded at 3.32195
recorded at 3.32208
recorded at 3.32222
recorded at 3.32237
recorded at 3.32252
recorded at 3.32265
recorded at 3.32279
recorded at 3.32294
recorded at 3.32308
recorded at 3.32322
recorded at 3.32335
recorded at 3.32349
recorded at 3.32364
recorded at 3.32379
recorded at 3.32393
recorded at 3.32407
recorded at 3.3242
recorded at 3.32433
recorded at 3.32446
recorded at 3.32458
recorded at 3.32472
recorded at 3.32493
recorded at 3.32513
recorded at 3.32563
recorded at 3.32583
recorded at 3.32595
recorded at 3.32608
recorded at 3.3262
recorded at 3.32633
recorded at 3.32647
recorded at 3.32659
recorded at 3.32672
recorded at 3.32684
recorded at 3.32696
recorded at 3.32709
recorded at 3.32721
recorded at 3.32733
recorded at 3.32746
recorded at 3.32758
recorded at 3.89405
recorded at 3.89446
recorded at 3.89492
recorded at 3.89509
recorded at 3.89525
recorded at 3.89537
recorded at 3.89549
recorded at 3.89562
recorded at 3.89576
recorded at 3.8959
recorded at 3.89602
recorded at 3.89615
recorded at 3.89627
recorded at 3.89641
recorded at 3.89654
recorded at 3.89667
recorded at 3.89685
recorded at 3.89705
recorded at 3.89724
recorded at 3.89742
recorded at 3.89763
recorded at 3.89783
recorded at 3.89802
recorded at 3.89817
recorded at 3.89834
recorded at 3.89852
recorded at 3.89868
recorded at 3.89883
recorded at 3.89901
recorded at 3.89918
recorded at 3.89934
recorded at 3.89949
recorded at 3.89966
recorded at 3.89984
recorded at 3.9
recorded at 3.90016
recorded at 3.90033
recorded at 3.9005
recorded at 3.90067
recorded at 3.90082
recorded at 3.90095
recorded at 3.90108
recorded at 3.9012
recorded at 3.90131
recorded at 3.90142
recorded at 3.90154
recorded at 3.90166
recorded at 3.90181
recorded at 3.90195
recorded at 3.90209
recorded at 3.90224
recorded at 3.90238
recorded at 3.90251
recorded at 3.90266
recorded at 3.90284
recorded at 3.90299
recorded at 3.90313
recorded at 3.90327
recorded at 3.90341
recorded at 3.90356
recorded at 3.90371
recorded at 3.90386
recorded at 3.90399
recorded at 3.90412
recorded at 3.90424
recorded at 3.90436
recorded at 3.90449
recorded at 3.90461
recorded at 3.90477
recorded at 3.90491
recorded at 3.90508
recorded at 3.90521
recorded at 3.90533
recorded at 3.90546
recorded at 3.9056
recorded at 3.90573
recorded at 3.90589
recorded at 3.906
recorded at 3.90612
recorded at 3.90623
recorded at 3.90634
recorded at 3.90648
recorded at 3.90662
recorded at 3.90677
recorded at 3.90691
recorded at 3.90707
recorded at 3.90722
recorded at 3.90736
recorded at 3.9075
recorded at 3.90765
recorded at 3.90783
recorded at 3.90797
recorded at 3.90811
recorded at 3.90826
recorded at 3.90841
recorded at 3.90856
recorded at 3.9087
recorded at 3.90884
recorded at 3.90899
recorded at 3.90913
recorded at 3.90928
recorded at 3.90942
recorded at 3.90959
recorded at 3.90973
recorded at 3.91023
recorded at 3.91039
recorded at 3.91055
recorded at 3.91068
recorded at 3.91082
recorded at 3.91098
recorded at 3.91113
recorded at 3.91127
recorded at 3.91141
recorded at 3.91155
recorded at 3.91171
recorded at 3.91186
recorded at 3.912
recorded at 3.91215
recorded at 3.9123
recorded at 3.91247
recorded at 3.91261
recorded at 3.91276
recorded at 3.91291
recorded at 3.91306
recorded at 3.9132
recorded at 3.91334
recorded at 3.91349
recorded at 3.91365
recorded at 3.91379
recorded at 3.91393
recorded at 3.91408
recorded at 3.91423
recorded at 3.91437
recorded at 3.91451
recorded at 3.91466
recorded at 3.91481
recorded at 3.91495
recorded at 3.91509
recorded at 3.91523
recorded at 3.91537
recorded at 3.91552
recorded at 3.91568
recorded at 3.91582
recorded at 3.91596
recorded at 3.91611
recorded at 3.91627
recorded at 3.9164
recorded at 3.91655
recorded at 3.9167
recorded at 3.91685
recorded at 3.91699
recorded at 3.91713
recorded at 3.91728
recorded at 3.91743
recorded at 3.91758
recorded at 3.91773
recorded at 3.91788
recorded at 3.91802
recorded at 3.91814
recorded at 3.91827
recorded at 3.91841
recorded at 3.91854
recorded at 3.91867
recorded at 3.91882
recorded at 3.91897
recorded at 3.91912
recorded at 3.91926
recorded at 3.91942
recorded at 3.91958
recorded at 3.91972
recorded at 3.91988
recorded at 3.92
recorded at 3.92013
recorded at 3.92026
recorded at 3.9204
recorded at 3.92053
recorded at 3.92065
recorded at 3.92081
recorded at 3.92097
recorded at 3.92111
recorded at 3.92126
recorded at 3.92141
recorded at 3.92157
recorded at 3.92171
recorded at 3.92185
recorded at 3.92199
recorded at 3.92213
recorded at 3.92225
recorded at 3.92238
recorded at 3.92252
recorded at 3.92265
recorded at 3.92278
recorded at 3.92293
recorded at 3.92307
recorded at 3.92321
recorded at 3.92334
recorded at 3.92348
recorded at 3.92362
recorded at 3.92379
recorded at 3.92394
recorded at 3.92433
recorded at 3.92447
recorded at 3.92462
recorded at 3.9248
recorded at 3.92494
recorded at 3.92507
recorded at 3.9252
recorded at 3.92532
recorded at 3.92547
recorded at 3.92561
recorded at 3.92578
recorded at 3.92633
recorded at 3.92652
recorded at 3.92674
recorded at 3.92693
recorded at 3.92708
recorded at 3.92726
recorded at 3.92739
recorded at 3.92752
recorded at 3.92765
recorded at 3.92778
recorded at 3.9279
recorded at 3.92804
recorded at 3.92817
recorded at 3.92829
recorded at 3.92842
recorded at 3.92855
recorded at 3.92868
recorded at 3.92886
recorded at 3.92905
recorded at 3.92923
recorded at 3.92942
recorded at 3.92962
recorded at 3.9298
recorded at 3.92992
recorded at 3.93004
recorded at 3.93015
recorded at 3.93027
recorded at 3.93039
recorded at 3.93053
recorded at 3.93071
recorded at 3.93087
recorded at 3.93103
recorded at 3.93114
recorded at 3.93126
recorded at 3.93137
recorded at 3.93148
recorded at 3.93159
recorded at 3.9317
recorded at 3.93184
recorded at 3.93197
recorded at 3.9321
recorded at 3.93223
recorded at 3.93236
recorded at 3.93249
recorded at 3.93262
recorded at 3.93278
recorded at 3.93289
recorded at 3.93307
recorded at 3.93319
recorded at 3.93331
recorded at 3.93342
recorded at 3.93355
recorded at 3.93367
recorded at 3.93378
recorded at 3.9339
recorded at 3.93401
recorded at 3.93413
recorded at 3.93424
recorded at 3.93436
recorded at 3.93447
recorded at 3.93459
recorded at 3.9347
recorded at 3.93481
recorded at 3.93493
recorded at 3.93505
recorded at 3.93516
recorded at 3.93528
recorded at 3.93539
recorded at 3.9355
recorded at 3.93562
recorded at 3.93575
recorded at 3.93587
recorded at 3.93599
recorded at 3.9361
recorded at 3.93622
recorded at 3.93634
recorded at 3.93646
recorded at 3.93658
recorded at 3.9367
recorded at 3.93684
recorded at 3.93698
recorded at 3.93711
recorded at 3.93727
recorded at 3.93742
recorded at 3.93757
recorded at 3.93772
recorded at 3.93786
recorded at 3.93799
recorded at 3.93812
recorded at 3.93826
recorded at 3.93839
recorded at 3.93851
recorded at 3.93865
recorded at 3.93881
recorded at 3.93896
recorded at 3.93911
recorded at 3.93928
recorded at 3.93944
recorded at 3.93959
recorded at 3.93977
recorded at 3.93992
recorded at 3.94029
recorded at 3.94043
recorded at 3.94056
recorded at 3.94068
recorded at 3.94087
recorded at 3.94106
recorded at 3.94123
recorded at 3.9414
recorded at 3.94159
recorded at 3.94181
recorded at 3.94194
recorded at 3.94207
recorded at 3.94221
recorded at 3.94273
recorded at 3.94288
recorded at 3.94303
recorded at 3.94317
recorded at 3.94331
recorded at 3.94346
recorded at 3.94362
recorded at 3.94375
recorded at 3.9439
recorded at 3.94406
recorded at 3.9442
recorded at 3.94434
recorded at 3.94449
recorded at 3.94464
recorded at 3.94479
recorded at 3.94494
recorded at 3.94508
recorded at 3.94521
recorded at 3.94535
recorded at 3.9455
recorded at 3.94565
recorded at 3.94582
recorded at 3.94595
recorded at 3.9461
recorded at 3.94623
recorded at 3.94637
recorded at 3.94651
recorded at 3.94665
recorded at 3.94681
recorded at 3.94695
recorded at 3.94709
recorded at 3.94724
